locationKey,state,femaRegion,region,designatedArea,fipsStateCode,fipsCountyCode,placeCode
196,AL,Region 4,4,Macon (County),1,87,99087
197,AL,Region 4,4,Marion (County),1,93,99093
198,PR,Region 2,2,Morovis (Municipio),72,101,99101
199,PR,Region 2,2,Naguabo (Municipio),72,103,99103
200,PR,Region 2,2,Naranjito (Municipio),72,105,99105
201,PR,Region 2,2,Orocovis (Municipio),72,107,99107
202,MT,Region 8,8,Gallatin (County),30,31,99031
203,AL,Region 4,4,Marshall (County),1,95,99095
204,AL,Region 4,4,Monroe (County),1,99,99099
205,PR,Region 2,2,Patillas (Municipio),72,109,99109
206,AZ,Region 9,9,San Carlos Indian Reservation,4,0,62980
207,PR,Region 2,2,Penuelas (Municipio),72,111,99111
208,PR,Region 2,2,Ponce (Municipio),72,113,99113
209,PR,Region 2,2,Quebradillas (Municipio),72,115,99115
210,CO,Region 8,8,Garfield (County),8,45,99045
211,CO,Region 8,8,Mesa (County),8,77,99077
212,CO,Region 8,8,Eagle (County),8,37,99037
213,PR,Region 2,2,Rincon (Municipio),72,117,99117
214,CA,Region 9,9,Nevada (County),6,57,99057
215,PR,Region 2,2,Rio Grande (Municipio),72,119,99119
216,PR,Region 2,2,Sabana Grande (Municipio),72,121,99121
217,PR,Region 2,2,Salinas (Municipio),72,123,99123
218,PR,Region 2,2,San German (Municipio),72,125,99125
219,PR,Region 2,2,San Juan (Municipio),72,127,99127
220,WA,Region 10,10,Yakama Reservation,53,0,79995
221,PR,Region 2,2,San Lorenzo (Municipio),72,129,99129
222,CA,Region 9,9,Morongo Indian Reservation,6,0,49334
223,MT,Region 8,8,Stillwater (County),30,95,99095
224,MT,Region 8,8,Yellowstone (County),30,111,99111
225,PR,Region 2,2,San Sebastian (Municipio),72,131,99131
226,PR,Region 2,2,Santa Isabel (Municipio),72,133,99133
227,UT,Region 8,8,Millard (County),49,27,99027
228,PR,Region 2,2,Toa Alta (Municipio),72,135,99135
229,PR,Region 2,2,Toa Baja (Municipio),72,137,99137
230,PR,Region 2,2,Trujillo Alto (Municipio),72,139,99139
231,FL,Region 4,4,Collier (County),12,21,99021
232,FL,Region 4,4,Walton (County),12,131,99131
233,FL,Region 4,4,Santa Rosa (County),12,113,99113
234,OK,Region 6,6,Beaver (County),40,7,99007
235,PR,Region 2,2,Utuado (Municipio),72,141,99141
236,CA,Region 9,9,Ventura (County),6,111,99111
237,CA,Region 9,9,Sonoma (County),6,97,99097
238,PR,Region 2,2,Vega Alta (Municipio),72,143,99143
239,UT,Region 8,8,Davis (County),49,11,99011
240,AK,Region 10,10,Matanuska-Susitna (Borough),2,170,99170
241,TX,Region 6,6,Hardeman (County),48,197,99197
242,AK,Region 10,10,Fairbanks North Star (Borough),2,90,99090
243,CA,Region 9,9,Butte (County),6,7,99007
244,UT,Region 8,8,Utah (County),49,49,99049
245,WY,Region 8,8,Sublette (County),56,35,99035
246,AL,Region 4,4,Perry (County),1,105,99105
247,AL,Region 4,4,Pike (County),1,109,99109
248,WA,Region 10,10,Ferry (County),53,19,99019
249,SD,Region 8,8,Fall River (County),46,47,99047
250,AL,Region 4,4,Russell (County),1,113,99113
251,UT,Region 8,8,Sanpete (County),49,39,99039
252,WA,Region 10,10,Lincoln (County),53,43,99043
253,AL,Region 4,4,St. Clair (County),1,115,99115
254,TX,Region 6,6,Burnet (County),48,53,99053
255,ID,Region 10,10,Clark (County),16,33,99033
256,CA,Region 9,9,Hopland Rancheria (Indian Reservation),6,0,34659
257,CA,Region 9,9,Lake (County),6,33,99033
258,CA,Region 9,9,Mendocino (County),6,45,99045
259,AL,Region 4,4,Walker (County),1,127,99127
260,CA,Region 9,9,Trinity (County),6,105,99105
261,TX,Region 6,6,Brown (County),48,49,99049
262,AL,Region 4,4,Winston (County),1,133,99133
263,PR,Region 2,2,Vega Baja (Municipio),72,145,99145
264,PR,Region 2,2,Vieques (Municipio),72,147,99147
265,PR,Region 2,2,Villalba (Municipio),72,149,99149
266,WA,Region 10,10,Kittitas (County),53,37,99037
267,CA,Region 9,9,San Diego (County),6,73,99073
268,UT,Region 8,8,Duchesne (County),49,13,99013
269,UT,Region 8,8,Wasatch (County),49,51,99051
270,CO,Region 8,8,Teller (County),8,119,99119
271,CO,Region 8,8,Costilla (County),8,23,99023
272,NC,Region 4,4,Swain (County),37,173,99173
273,CO,Region 8,8,Huerfano (County),8,55,99055
274,PR,Region 2,2,Yabucoa (Municipio),72,151,99151
275,PR,Region 2,2,Yauco (Municipio),72,153,99153
276,NV,Region 9,9,Lyon (County),32,19,99019
277,NM,Region 6,6,Otero (County),35,35,99035
278,TX,Region 6,6,Jeff Davis (County),48,243,99243
279,TX,Region 6,6,Gray (County),48,179,99179
280,TX,Region 6,6,Jones (County),48,253,99253
281,OK,Region 6,6,Dewey (County),40,43,99043
282,OK,Region 6,6,Pottawatomie (County),40,125,99125
283,SD,Region 8,8,Custer (County),46,33,99033
284,CA,Region 9,9,Napa (County),6,55,99055
285,CA,Region 9,9,Yuba (County),6,115,99115
286,CA,Region 9,9,Solano (County),6,95,99095
287,NE,Region 7,7,Arthur (County),31,5,99005
288,NE,Region 7,7,Dawson (County),31,47,99047
289,MT,Region 8,8,Blackfeet Indian Reservation,30,0,7225
290,MT,Region 8,8,Pondera (County),30,73,99073
291,MT,Region 8,8,Teton (County),30,99,99099
292,MT,Region 8,8,Lincoln (County),30,53,99053
293,MT,Region 8,8,Missoula (County),30,63,99063
294,MT,Region 8,8,Powell (County),30,77,99077
295,UT,Region 8,8,Weber (County),49,57,99057
296,CA,Region 9,9,Tulare (County),6,107,99107
297,NE,Region 7,7,Garden (County),31,69,99069
298,OR,Region 10,10,Hood River (County),41,27,99027
299,OR,Region 10,10,Multnomah (County),41,51,99051
300,NE,Region 7,7,Keith (County),31,101,99101
301,NE,Region 7,7,Lincoln (County),31,111,99111
302,NE,Region 7,7,Grant (County),31,75,99075
303,OR,Region 10,10,Curry (County),41,15,99015
304,MT,Region 8,8,Ravalli (County),30,81,99081
305,MT,Region 8,8,Garfield (County),30,33,99033
306,MT,Region 8,8,Petroleum (County),30,69,99069
307,NV,Region 9,9,Elko (County),32,7,99007
308,UT,Region 8,8,Iron (County),49,21,99021
309,NM,Region 6,6,Sandoval (County),35,43,99043
310,AZ,Region 9,9,Cochise (County),4,3,99003
311,GA,Region 4,4,Charlton (County),13,49,99049
312,GA,Region 4,4,Clinch (County),13,65,99065
313,GA,Region 4,4,Ware (County),13,299,99299
314,FL,Region 4,4,Polk (County),12,105,99105
315,FL,Region 4,4,Lee (County),12,71,99071
316,NE,Region 7,7,Morrill (County),31,123,99123
317,OK,Region 6,6,Harper (County),40,59,99059
318,OK,Region 6,6,Woods (County),40,151,99151
319,KS,Region 7,7,Comanche (County),20,33,99033
320,KS,Region 7,7,Rooks (County),20,163,99163
321,KS,Region 7,7,Ness (County),20,135,99135
322,KS,Region 7,7,Ford (County),20,57,99057
323,KS,Region 7,7,Ellsworth (County),20,53,99053
324,KS,Region 7,7,Lincoln (County),20,105,99105
325,KS,Region 7,7,Russell (County),20,167,99167
326,KS,Region 7,7,Clark (County),20,25,99025
327,NC,Region 4,4,Polk (County),37,149,99149
328,OK,Region 6,6,Wagoner (County),40,145,99145
329,KS,Region 7,7,Woodson (County),20,207,99207
330,TN,Region 4,4,Sevier (County),47,155,99155
331,KY,Region 4,4,Harlan (County),21,95,99095
332,KY,Region 4,4,Knox (County),21,121,99121
333,KY,Region 4,4,Letcher (County),21,133,99133
334,KY,Region 4,4,Pike (County),21,195,99195
335,TN,Region 4,4,Blount (County),47,9,99009
336,NC,Region 4,4,Burke (County),37,23,99023
